price,sqft_living,bedrooms,bathrooms,condition,floors,sqft_lot,sqft_above,sqft_basement,BR/BTH,FAR,yard,lot_per_floor,living_per_floor,living_per_lot,grade,yr_built,yr_renovated,yr_built_pd,renovated,built_and_renovated,zipcode,view,waterfront
650000.0,2950,4,3.0,2,2.0,5000,1980,970,1.33,0.59,4010.0,2500.0,990.0,0.4,9,1979,0.0,8,0,80,98126,3,0
395000.0,1890,3,2.0,2,2.0,14040,1890,0,1.5,0.13,13095.0,7020.0,945.0,0.13,7,1994,0.0,10,0,100,98019,0,0
485000.0,1600,4,1.0,3,1.5,4300,1600,0,4.0,0.37,3233.333333333333,2866.67,1066.67,0.37,7,1916,0.0,2,0,20,98103,0,0
189000.0,1200,2,1.0,3,1.0,9850,1200,0,2.0,0.12,8650.0,9850.0,1200.0,0.12,7,1921,0.0,3,0,30,98002,0,0
230000.0,1250,3,1.0,3,1.0,9774,1250,0,3.0,0.13,8524.0,9774.0,1250.0,0.13,7,1969,0.0,7,0,70,98003,0,0
385000.0,1620,4,1.75,3,1.0,4980,860,760,2.29,0.33,4120.0,4980.0,860.0,0.17,7,1947,0.0,5,0,50,98133,0,0
2000000.0,3050,3,2.75,2,1.0,44867,2330,720,1.09,0.07,42537.0,44867.0,2330.0,0.05,9,1968,0.0,7,0,70,98040,4,0
285000.0,2270,5,2.5,2,2.0,6300,2270,0,2.0,0.36,5165.0,3150.0,1135.0,0.36,8,1995,0.0,10,0,100,98092,0,0
252700.0,1070,2,1.5,2,1.0,9643,1070,0,1.33,0.11,8573.0,9643.0,1070.0,0.11,7,1985,0.0,9,0,90,98030,0,0
329000.0,2450,3,2.25,3,2.0,6500,2450,0,1.33,0.38,5275.0,3250.0,1225.0,0.38,8,1985,0.0,9,0,90,98030,0,0
233000.0,1710,3,2.0,4,1.5,4697,1710,0,1.5,0.36,3557.0,3131.33,1140.0,0.36,6,1941,0.0,5,0,50,98002,0,0
937000.0,2450,3,1.75,2,2.0,2691,1750,700,1.71,0.91,1816.0,1345.5,875.0,0.65,8,1915,0.0,2,0,20,98119,0,0
667000.0,1400,3,1.0,4,1.5,1581,1400,0,3.0,0.89,647.6666666666666,1054.0,933.33,0.89,8,1909,0.0,1,0,10,98112,0,0
438000.0,1520,3,1.75,2,1.0,6380,790,730,1.71,0.24,5590.0,6380.0,790.0,0.12,7,1948,0.0,5,0,50,98115,0,0
719000.0,2570,4,2.5,2,2.0,7173,2570,0,1.6,0.36,5888.0,3586.5,1285.0,0.36,8,2005,0.0,11,0,110,98052,0,0
580500.0,2320,3,2.5,2,2.0,3980,2320,0,1.2,0.58,2820.0,1990.0,1160.0,0.58,8,2003,0.0,11,0,110,98027,0,0
280000.0,1190,2,1.5,2,3.0,1265,1190,0,1.33,0.94,868.3333333333333,421.67,396.67,0.94,7,2005,0.0,11,0,110,98133,0,0
687500.0,2330,4,1.75,3,1.5,5000,1510,820,2.29,0.47,3993.3333333333335,3333.33,1006.67,0.3,7,1929,0.0,3,0,30,98117,0,0
535000.0,1090,3,1.0,3,1.5,3000,1090,0,3.0,0.36,2273.3333333333335,2000.0,726.67,0.36,8,1929,0.0,3,0,30,98117,0,0
322500.0,2060,4,2.75,2,1.0,6659,1280,780,1.45,0.31,5379.0,6659.0,1280.0,0.19,7,1981,0.0,9,0,90,98058,0,0
696000.0,2300,3,2.5,2,1.5,3060,1510,790,1.2,0.75,2053.3333333333335,2040.0,1006.67,0.49,8,1930,2002.0,3,1,6,98115,0,0
550000.0,1660,4,1.0,0,1.0,34848,930,730,4.0,0.05,33918.0,34848.0,930.0,0.03,5,1933,0.0,4,0,40,98052,0,0
640000.0,2360,4,2.0,3,2.0,6000,2360,0,2.0,0.39,4820.0,3000.0,1180.0,0.39,8,1904,0.0,1,0,10,98107,0,0
240000.0,1220,4,1.0,1,1.0,8075,890,330,4.0,0.15,7185.0,8075.0,890.0,0.11,7,1969,0.0,7,0,70,98001,0,0
605000.0,2620,4,2.5,2,2.0,7553,2620,0,1.6,0.35,6243.0,3776.5,1310.0,0.35,8,1996,0.0,10,0,100,98056,0,0
625000.0,2570,4,2.5,2,2.0,5520,2570,0,1.6,0.47,4235.0,2760.0,1285.0,0.47,9,2000,0.0,10,0,100,98074,0,0
775000.0,4220,4,2.25,2,1.0,24186,2600,1620,1.78,0.17,21586.0,24186.0,2600.0,0.11,8,1984,0.0,9,0,90,98166,0,0
861990.0,3595,5,2.75,2,2.0,5639,3595,0,1.82,0.64,3841.5,2819.5,1797.5,0.64,9,2014,0.0,12,0,120,98053,0,0
685000.0,1570,3,1.0,2,2.0,2280,1570,0,3.0,0.69,1495.0,1140.0,785.0,0.69,7,1922,0.0,3,0,30,98119,0,0
309000.0,1280,3,1.0,3,1.0,9656,920,360,3.0,0.13,8736.0,9656.0,920.0,0.1,6,1959,0.0,6,0,60,98058,0,0
488000.0,3160,3,2.5,2,2.0,13603,3160,0,1.2,0.23,12023.0,6801.5,1580.0,0.23,8,2003,0.0,11,0,110,98019,0,0
210490.0,990,3,1.0,2,1.0,8528,990,0,3.0,0.12,7538.0,8528.0,990.0,0.12,6,1966,0.0,7,0,70,98023,0,0
785000.0,2290,4,2.5,3,2.0,13416,2290,0,1.6,0.17,12271.0,6708.0,1145.0,0.17,9,1981,0.0,9,0,90,98007,0,0
450000.0,1250,3,1.75,3,1.0,5963,1250,0,1.71,0.21,4713.0,5963.0,1250.0,0.21,7,1953,0.0,6,0,60,98115,0,0
1350000.0,2753,3,2.5,4,1.0,65005,2165,588,1.2,0.04,62840.0,65005.0,2165.0,0.03,9,1953,0.0,6,0,60,98070,2,1
228000.0,1190,3,1.0,2,1.0,9199,1190,0,3.0,0.13,8009.0,9199.0,1190.0,0.13,7,1955,0.0,6,0,60,98148,0,0
345000.0,3150,5,2.5,3,1.0,9134,1640,1510,2.0,0.34,7494.0,9134.0,1640.0,0.18,8,1966,0.0,7,0,70,98056,0,0
600000.0,1410,3,1.75,3,1.0,4080,1000,410,1.71,0.35,3080.0,4080.0,1000.0,0.25,7,1950,0.0,5,0,50,98117,0,0
585000.0,1980,2,1.75,2,1.0,8550,990,990,1.14,0.23,7560.0,8550.0,990.0,0.12,7,1981,0.0,9,0,90,98117,0,0
920000.0,2730,5,2.25,2,1.5,6000,2130,600,2.22,0.46,4580.0,4000.0,1420.0,0.35,8,1927,0.0,3,0,30,98105,0,0
885000.0,2830,4,2.5,2,2.0,5000,2830,0,1.6,0.57,3585.0,2500.0,1415.0,0.57,9,1995,0.0,10,0,100,98105,0,0
292500.0,2250,4,2.5,2,2.0,4495,2250,0,1.6,0.5,3370.0,2247.5,1125.0,0.5,7,2008,0.0,11,0,110,98042,0,0
301000.0,2420,3,2.5,2,2.0,4750,2420,0,1.2,0.51,3540.0,2375.0,1210.0,0.51,8,2003,0.0,11,0,110,98042,0,0
951000.0,3250,5,3.25,3,2.0,14342,3250,0,1.54,0.23,12717.0,7171.0,1625.0,0.23,8,1968,0.0,7,0,70,98008,4,0
430000.0,1850,4,3.0,2,2.0,9976,1850,0,1.33,0.19,9051.0,4988.0,925.0,0.19,8,1991,0.0,10,0,100,98059,0,0
650000.0,2150,3,2.25,3,1.0,21235,1590,560,1.33,0.1,19645.0,21235.0,1590.0,0.07,8,1959,0.0,6,0,60,98166,3,0
289000.0,1260,3,1.75,2,1.0,8400,1260,0,1.71,0.15,7140.0,8400.0,1260.0,0.15,7,1954,0.0,6,0,60,98148,0,0
505000.0,2519,3,1.75,4,2.0,8690,2519,0,1.71,0.29,7430.5,4345.0,1259.5,0.29,8,1973,0.0,8,0,80,98166,0,0
549000.0,1540,3,1.75,2,3.0,1044,1540,0,1.71,1.48,530.6666666666666,348.0,513.33,1.48,8,2014,0.0,12,0,120,98115,0,0
425000.0,1660,3,2.25,2,1.0,6000,1110,550,1.33,0.28,4890.0,6000.0,1110.0,0.18,7,1979,0.0,8,0,80,98122,0,0
317625.0,2770,3,2.75,4,1.5,3809,1770,1000,1.09,0.73,2629.0,2539.33,1180.0,0.46,7,1925,0.0,3,0,30,98144,0,0
975000.0,2720,4,2.5,2,2.0,11049,2720,0,1.6,0.25,9689.0,5524.5,1360.0,0.25,10,1989,0.0,9,0,90,98004,0,0
287000.0,2240,4,2.5,2,2.0,4648,2240,0,1.6,0.48,3528.0,2324.0,1120.0,0.48,7,2005,0.0,11,0,110,98001,0,0
204000.0,1000,3,1.0,3,1.0,12070,1000,0,3.0,0.08,11070.0,12070.0,1000.0,0.08,7,1968,0.0,7,0,70,98042,0,0
1330000.0,3200,5,2.25,2,1.0,20158,1600,1600,2.22,0.16,18558.0,20158.0,1600.0,0.08,8,1965,0.0,7,0,70,98004,0,0
1040000.0,4770,5,3.25,3,1.0,50094,3070,1700,1.54,0.1,47024.0,50094.0,3070.0,0.06,11,1973,0.0,8,0,80,98005,0,0
325000.0,1260,3,2.0,3,1.0,5612,1260,0,1.5,0.22,4352.0,5612.0,1260.0,0.22,7,1972,0.0,8,0,80,98034,0,0
571000.0,2750,4,2.0,4,1.5,7807,2250,500,2.0,0.35,6307.0,5204.67,1500.0,0.29,7,1916,0.0,2,0,20,98125,0,0
360000.0,2380,4,2.5,2,2.0,5000,2380,0,1.6,0.48,3810.0,2500.0,1190.0,0.48,8,2005,0.0,11,0,110,98038,0,0
349000.0,1790,3,1.75,4,1.0,50529,1090,700,1.71,0.04,49439.0,50529.0,1090.0,0.02,7,1965,0.0,7,0,70,98042,0,0
832500.0,3430,4,4.0,3,2.0,35102,2390,1040,1.0,0.1,33907.0,17551.0,1195.0,0.07,10,1986,0.0,9,0,90,98075,0,0
380000.0,1760,4,1.75,2,1.0,7300,880,880,2.29,0.24,6420.0,7300.0,880.0,0.12,7,1956,0.0,6,0,60,98008,0,0
480000.0,1040,3,1.0,2,1.0,5060,1040,0,3.0,0.21,4020.0,5060.0,1040.0,0.21,7,1941,0.0,5,0,50,98116,0,0
410000.0,1410,3,1.0,3,1.0,5060,910,500,3.0,0.28,4150.0,5060.0,910.0,0.18,7,1956,0.0,6,0,60,98133,0,0
720000.0,3450,4,2.5,2,2.0,39683,3450,0,1.6,0.09,37958.0,19841.5,1725.0,0.09,10,2002,0.0,11,0,110,98010,0,0
390000.0,2350,3,2.5,2,2.0,5100,2350,0,1.2,0.46,3925.0,2550.0,1175.0,0.46,8,2003,0.0,11,0,110,98038,0,0
360000.0,1900,4,2.5,2,2.0,5889,1900,0,1.6,0.32,4939.0,2944.5,950.0,0.32,7,1992,0.0,10,0,100,98038,0,0
355000.0,2020,2,1.0,2,1.0,6720,1010,1010,2.0,0.3,5710.0,6720.0,1010.0,0.15,7,1948,0.0,5,0,50,98118,0,0
356000.0,1680,3,1.5,2,1.0,8712,1680,0,2.0,0.19,7032.0,8712.0,1680.0,0.19,8,1964,0.0,7,0,70,98059,0,0
315000.0,960,3,1.0,2,1.0,6634,960,0,3.0,0.14,5674.0,6634.0,960.0,0.14,6,1952,0.0,6,0,60,98125,0,0
940000.0,2140,3,1.5,2,2.0,3600,1900,240,2.0,0.59,2650.0,1800.0,950.0,0.53,9,1925,0.0,3,0,30,98119,0,0
305000.0,2660,5,2.25,4,1.5,8400,2660,0,2.22,0.32,6626.666666666667,5600.0,1773.33,0.32,7,1961,0.0,7,0,70,98092,0,0
461000.0,2770,3,3.25,2,2.0,6278,1980,790,0.92,0.44,5288.0,3139.0,990.0,0.32,9,2006,0.0,11,0,110,98056,0,0
215000.0,1610,2,2.25,3,2.0,2040,1610,0,0.89,0.79,1235.0,1020.0,805.0,0.79,7,1979,0.0,8,0,80,98056,0,0
335000.0,1030,2,1.75,2,2.0,1066,765,265,1.14,0.97,683.5,533.0,382.5,0.72,7,2006,0.0,11,0,110,98136,0,0
243500.0,1980,4,2.5,2,2.0,7403,1980,0,1.6,0.27,6413.0,3701.5,990.0,0.27,7,1988,0.0,9,0,90,98023,0,0
1100000.0,3520,5,2.75,3,2.0,6353,3520,0,1.82,0.55,4593.0,3176.5,1760.0,0.55,10,2001,0.0,11,0,110,98199,0,0
153000.0,1200,3,1.0,2,1.0,10500,1200,0,3.0,0.11,9300.0,10500.0,1200.0,0.11,7,1962,0.0,7,0,70,98023,0,0
430000.0,1580,3,1.5,2,1.0,5000,1290,290,2.0,0.32,3710.0,5000.0,1290.0,0.26,8,1939,0.0,4,0,40,98117,0,0
700000.0,1580,3,1.5,2,1.0,5000,1290,290,2.0,0.32,3710.0,5000.0,1290.0,0.26,8,1939,0.0,4,0,40,98117,0,0
905000.0,3300,4,2.5,2,1.0,10250,2390,910,1.6,0.32,7860.0,10250.0,2390.0,0.23,7,1946,1991.0,5,1,15,98040,0,0
247500.0,1960,3,1.75,2,1.0,15681,1960,0,1.71,0.12,13721.0,15681.0,1960.0,0.12,7,1967,0.0,7,0,70,98032,0,0
199000.0,1160,4,1.5,3,1.0,6400,1160,0,2.67,0.18,5240.0,6400.0,1160.0,0.18,7,1975,0.0,8,0,80,98023,0,0
314000.0,1810,3,1.75,4,1.0,41800,1210,600,1.71,0.04,40590.0,41800.0,1210.0,0.03,7,1980,0.0,8,0,80,98038,0,0
437500.0,2320,3,2.5,2,2.0,36847,2320,0,1.2,0.06,35687.0,18423.5,1160.0,0.06,9,1992,0.0,10,0,100,98045,2,0
850830.0,2070,3,2.5,4,1.5,13241,1270,800,1.2,0.16,12394.333333333334,8827.33,846.67,0.1,9,1910,0.0,1,0,10,98102,0,0
555000.0,1980,3,2.0,3,1.5,3478,1440,540,1.5,0.57,2518.0,2318.67,960.0,0.41,7,1929,0.0,3,0,30,98117,0,0
699950.0,2190,3,2.25,3,2.0,107593,2190,0,1.33,0.02,106498.0,53796.5,1095.0,0.02,8,1983,0.0,9,0,90,98077,0,0
1090000.0,2920,3,2.5,2,2.0,8113,2920,0,1.2,0.36,6653.0,4056.5,1460.0,0.36,8,1950,2010.0,5,1,10,98004,0,0
290000.0,1210,3,1.0,2,1.0,33919,1210,0,3.0,0.04,32709.0,33919.0,1210.0,0.04,7,1954,0.0,6,0,60,98058,0,0
375000.0,2340,3,2.5,3,1.0,10005,1460,880,1.2,0.23,8545.0,10005.0,1460.0,0.15,8,1978,0.0,8,0,80,98058,0,0
460000.0,1670,3,1.0,3,1.5,4005,1170,500,3.0,0.42,3225.0,2670.0,780.0,0.29,7,1939,0.0,4,0,40,98117,0,0
188500.0,1240,2,1.75,3,1.0,2493,1240,0,1.14,0.5,1253.0,2493.0,1240.0,0.5,8,1985,0.0,9,0,90,98198,0,0
680000.0,3140,4,2.5,3,2.0,28037,3140,0,1.6,0.11,26467.0,14018.5,1570.0,0.11,10,1991,0.0,10,0,100,98077,0,0
470000.0,2030,5,1.75,3,2.0,12342,2030,0,2.86,0.16,11327.0,6171.0,1015.0,0.16,7,1942,0.0,5,0,50,98052,0,0
597750.0,2310,4,2.5,2,2.0,9624,2310,0,1.6,0.24,8469.0,4812.0,1155.0,0.24,8,1984,0.0,9,0,90,98027,0,0
570000.0,1260,3,1.75,4,1.0,3328,700,560,1.71,0.38,2628.0,3328.0,700.0,0.21,6,1905,0.0,1,0,10,98103,0,0
272500.0,1540,3,1.75,3,1.0,12600,1160,0,1.71,0.12,11060.0,12600.0,1160.0,0.09,7,1980,0.0,8,0,80,98038,0,0
329950.0,2080,3,1.75,2,1.0,5969,1080,1000,1.71,0.35,4889.0,5969.0,1080.0,0.18,7,1971,0.0,8,0,80,98108,2,0
480000.0,3230,4,2.5,2,2.0,16171,2520,710,1.6,0.2,14911.0,8085.5,1260.0,0.16,9,2001,0.0,11,0,110,98001,0,0
740500.0,4380,3,3.5,2,2.0,6350,2780,0,0.86,0.69,4160.0,3175.0,1390.0,0.44,8,1900,0.0,1,0,10,98117,0,0
518500.0,1590,3,3.5,2,3.0,1102,1590,0,0.86,1.44,572.0,367.33,530.0,1.44,8,2010,0.0,11,0,110,98103,0,0
205425.0,880,2,1.0,3,1.0,6780,880,0,2.0,0.13,5900.0,6780.0,880.0,0.13,6,1945,0.0,5,0,50,98178,0,0
171800.0,1570,4,2.0,2,1.0,9600,1570,0,2.0,0.16,8030.0,9600.0,1570.0,0.16,6,1950,0.0,5,0,50,98168,0,0
535000.0,1610,4,1.0,3,1.5,2982,1610,0,4.0,0.54,1908.6666666666667,1988.0,1073.33,0.54,7,1925,0.0,3,0,30,98144,0,0
660000.0,2400,3,2.5,2,1.0,6474,1560,840,1.2,0.37,4914.0,6474.0,1560.0,0.24,8,1964,0.0,7,0,70,98177,2,0
391500.0,1450,3,2.0,2,1.0,9132,1450,0,1.5,0.16,7682.0,9132.0,1450.0,0.16,7,1987,0.0,9,0,90,98034,0,0
395000.0,770,2,1.0,2,1.0,6000,770,0,2.0,0.13,5230.0,6000.0,770.0,0.13,6,1953,0.0,6,0,60,98117,0,0
445000.0,2100,4,1.75,4,1.5,4400,1720,380,2.29,0.48,3253.333333333333,2933.33,1146.67,0.39,7,1924,0.0,3,0,30,98118,0,0
770000.0,2910,3,2.25,2,2.0,10204,2910,0,1.33,0.29,8749.0,5102.0,1455.0,0.29,9,1990,0.0,9,0,90,98052,0,0
1450000.0,2750,4,2.75,2,1.5,17789,1980,770,1.45,0.15,16469.0,11859.33,1320.0,0.11,8,1914,1992.0,2,1,6,98004,0,0
445000.0,2100,3,2.25,2,1.0,8201,1620,480,1.33,0.26,6581.0,8201.0,1620.0,0.2,8,1967,0.0,7,0,70,98178,2,0
260000.0,2160,4,2.25,2,1.0,8811,1360,800,1.78,0.25,7451.0,8811.0,1360.0,0.15,8,1978,0.0,8,0,80,98023,0,0
822500.0,2320,5,3.5,4,2.0,4960,1720,600,1.43,0.47,4100.0,2480.0,860.0,0.35,7,1926,0.0,3,0,30,98103,0,0
430000.0,2070,4,2.5,2,2.0,4310,2070,0,1.6,0.48,3275.0,2155.0,1035.0,0.48,7,2004,0.0,11,0,110,98065,0,0
212000.0,1060,3,1.75,3,1.0,7875,1060,0,1.71,0.13,6815.0,7875.0,1060.0,0.13,7,1986,0.0,9,0,90,98092,0,0
660500.0,2010,4,2.25,2,1.0,9603,1440,570,1.78,0.21,8163.0,9603.0,1440.0,0.15,8,1986,0.0,9,0,90,98027,0,0
784000.0,3950,3,3.5,2,1.5,111078,2460,1490,0.86,0.04,109438.0,74052.0,1640.0,0.02,9,1989,0.0,9,0,90,98052,0,0
453246.0,2010,3,2.5,2,2.0,2287,1390,620,1.2,0.88,1592.0,1143.5,695.0,0.61,8,2014,0.0,12,0,120,98029,0,0
675000.0,2140,4,3.5,2,3.0,2278,2140,0,1.14,0.94,1564.6666666666665,759.33,713.33,0.94,9,2005,0.0,11,0,110,98107,0,0
199000.0,1320,3,1.75,3,1.0,17390,1320,0,1.71,0.08,16070.0,17390.0,1320.0,0.08,7,1956,0.0,6,0,60,98003,0,0
220000.0,2020,4,1.75,2,1.0,7840,1010,1010,2.29,0.26,6830.0,7840.0,1010.0,0.13,7,1968,0.0,7,0,70,98003,0,0
452000.0,2590,4,2.25,3,1.0,10002,1340,1250,1.78,0.26,8662.0,10002.0,1340.0,0.13,8,1968,0.0,7,0,70,98028,0,0
382500.0,1190,2,1.0,2,1.0,4440,1190,0,2.0,0.27,3250.0,4440.0,1190.0,0.27,6,1981,0.0,9,0,90,98125,0,0
519950.0,1170,3,2.25,2,3.0,1249,1170,0,1.33,0.94,859.0,416.33,390.0,0.94,8,2014,0.0,12,0,120,98107,0,0
665000.0,1110,2,1.0,2,1.0,3200,1110,0,2.0,0.35,2090.0,3200.0,1110.0,0.35,7,1925,0.0,3,0,30,98119,0,0
527700.0,2820,5,2.5,3,1.0,9375,1550,1270,2.0,0.3,7825.0,9375.0,1550.0,0.17,8,1968,0.0,7,0,70,98006,0,0
205000.0,1610,3,1.0,3,1.0,8579,1010,600,3.0,0.19,7569.0,8579.0,1010.0,0.12,7,1962,0.0,7,0,70,98058,0,0
420000.0,1060,3,1.0,3,1.0,8097,940,120,3.0,0.13,7157.0,8097.0,940.0,0.12,7,1923,0.0,3,0,30,98133,0,0
500000.0,2030,4,2.25,3,1.0,8517,1380,650,1.78,0.24,7137.0,8517.0,1380.0,0.16,8,1961,0.0,7,0,70,98006,0,0
921500.0,3670,4,2.5,3,2.0,315374,3670,0,1.6,0.01,313539.0,157687.0,1835.0,0.01,9,1994,0.0,10,0,100,98077,0,0
890000.0,2550,4,1.0,2,2.0,4000,2370,180,4.0,0.64,2815.0,2000.0,1185.0,0.59,8,1905,0.0,1,0,10,98109,0,0
430000.0,2420,2,2.5,2,2.0,60984,2420,0,0.8,0.04,59774.0,30492.0,1210.0,0.04,7,2007,0.0,11,0,110,98027,0,0
258000.0,2260,5,2.0,3,1.0,12500,1130,1130,2.5,0.18,11370.0,12500.0,1130.0,0.09,8,1960,0.0,6,0,60,98032,0,0
511000.0,1430,3,1.0,2,1.0,3455,980,450,3.0,0.41,2475.0,3455.0,980.0,0.28,7,1947,0.0,5,0,50,98103,0,0
532170.0,1360,3,2.0,2,2.0,3090,1360,0,1.5,0.44,2410.0,1545.0,680.0,0.44,8,1990,0.0,9,0,90,98103,0,0
560000.0,1110,3,1.0,2,1.5,5000,1110,0,3.0,0.22,4260.0,3333.33,740.0,0.22,7,1947,0.0,5,0,50,98107,0,0
282950.0,1250,3,1.0,3,1.0,8200,1250,0,3.0,0.15,6950.0,8200.0,1250.0,0.15,7,1954,0.0,6,0,60,98003,0,0
2250000.0,5180,4,3.25,2,2.0,19850,3540,1640,1.23,0.26,18080.0,9925.0,1770.0,0.18,12,2006,0.0,11,0,110,98006,3,0
350000.0,700,1,1.0,2,1.0,5100,700,0,1.0,0.14,4400.0,5100.0,700.0,0.14,7,1942,0.0,5,0,50,98115,0,0
215000.0,1180,3,1.0,3,1.0,7669,1180,0,3.0,0.15,6489.0,7669.0,1180.0,0.15,7,1967,0.0,7,0,70,98058,0,0
650000.0,3960,5,3.5,2,2.0,25245,2500,1460,1.43,0.16,23995.0,12622.5,1250.0,0.1,9,1996,0.0,10,0,100,98056,0,0
320000.0,2640,4,2.75,2,1.0,7500,1620,1020,1.45,0.35,5880.0,7500.0,1620.0,0.22,8,1967,0.0,7,0,70,98023,0,0
247000.0,1270,3,2.0,2,1.5,7198,1270,0,1.5,0.18,6351.333333333333,4798.67,846.67,0.18,7,1916,2013.0,2,1,2,98022,0,0
320000.0,1760,4,1.75,3,1.0,11180,1760,0,2.29,0.16,9420.0,11180.0,1760.0,0.16,8,1968,0.0,7,0,70,98059,0,0
255000.0,2060,5,2.25,2,1.0,8632,1030,1030,2.22,0.24,7602.0,8632.0,1030.0,0.12,7,1962,0.0,7,0,70,98146,0,0
438000.0,1780,3,1.75,2,1.0,9660,1780,0,1.71,0.18,7880.0,9660.0,1780.0,0.18,7,1962,0.0,7,0,70,98034,0,0
900000.0,3400,3,2.5,2,2.0,16603,3400,0,1.2,0.2,14903.0,8301.5,1700.0,0.2,10,2000,0.0,10,0,100,98075,0,0
441000.0,1910,3,2.75,2,1.0,7280,1160,750,1.09,0.26,6120.0,7280.0,1160.0,0.16,7,1979,0.0,8,0,80,98034,0,0
420000.0,2020,3,2.0,3,1.0,38332,1010,1010,1.5,0.05,37322.0,38332.0,1010.0,0.03,7,1975,0.0,8,0,80,98027,0,0
370000.0,1580,3,1.75,2,1.0,7000,1180,400,1.71,0.23,5820.0,7000.0,1180.0,0.17,7,1976,0.0,8,0,80,98034,0,0
269950.0,1340,2,1.75,4,1.0,7250,700,640,1.14,0.18,6550.0,7250.0,700.0,0.1,5,1949,0.0,5,0,50,98198,0,0
807100.0,2680,4,2.5,2,2.0,4499,2680,0,1.6,0.6,3159.0,2249.5,1340.0,0.6,9,1999,0.0,10,0,100,98006,0,0
653000.0,2680,3,2.5,3,1.0,9750,1610,1070,1.2,0.27,8140.0,9750.0,1610.0,0.17,8,1979,0.0,8,0,80,98034,0,0
371500.0,1370,3,2.0,4,1.0,8336,1370,0,1.5,0.16,6966.0,8336.0,1370.0,0.16,7,1964,0.0,7,0,70,98133,0,0
284000.0,1560,3,1.75,2,1.0,21000,1560,0,1.71,0.07,19440.0,21000.0,1560.0,0.07,7,1954,0.0,6,0,60,98166,0,0
272000.0,2160,3,1.75,3,1.0,7140,1670,490,1.71,0.3,5470.0,7140.0,1670.0,0.23,7,1978,0.0,8,0,80,98023,0,0
313000.0,1340,3,1.5,2,1.5,7912,1340,0,2.0,0.17,7018.666666666667,5274.67,893.33,0.17,7,1955,0.0,6,0,60,98133,0,0
917500.0,3880,4,2.5,2,2.0,35003,2570,1310,1.6,0.11,33718.0,17501.5,1285.0,0.07,10,1984,0.0,9,0,90,98033,0,0
673000.0,2590,4,2.25,3,2.0,8190,2590,0,1.78,0.32,6895.0,4095.0,1295.0,0.32,8,1980,0.0,8,0,80,98006,0,0
425000.0,1120,3,2.5,2,2.0,1100,820,300,1.2,1.02,690.0,550.0,410.0,0.75,8,2008,0.0,11,0,110,98122,0,0
399950.0,1970,5,2.75,2,1.0,5400,1320,650,1.82,0.36,4080.0,5400.0,1320.0,0.24,7,1986,0.0,9,0,90,98144,0,0
385000.0,1220,3,1.0,2,1.0,4800,1220,0,3.0,0.25,3580.0,4800.0,1220.0,0.25,6,1901,0.0,1,0,10,98122,0,0
